"","season","stage","date","home_team_goal","away_team_goal","country","league","home_team","away_team","B365H","B365D","B365A","home_shoton","away_shoton","home_shotoff","away_shotoff","home_foulcommit","away_foulcommit","home_card","away_card","home_cross","away_cross","home_corner","away_corner"
"12","2009/2010",14,"2009-11-21 00:00:00",3,1,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008/2009",19,"2009-03-07 00:00:00",2,0,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015/2016",16,"2015-11-21 00:00:00",0,3,"Poland","Poland Ekstraklasa","Górnik Leczna","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011/2012",4,"2011-08-19 00:00:00",3,0,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008/2009",14,"2008-11-15 00:00:00",0,1,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2009/2010",17,"2009-12-11 00:00:00",1,2,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011/2012",7,"2011-09-17 00:00:00",0,1,"Poland","Poland Ekstraklasa","Podbeskidzie Bielsko-Biala","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2013/2014",21,"2013-12-15 00:00:00",1,2,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014/2015",10,"2014-09-27 00:00:00",1,1,"Poland","Poland Ekstraklasa","Zawisza Bydgoszcz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015/2016",3,"2015-08-03 00:00:00",1,2,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015/2016",26,"2016-03-07 00:00:00",2,3,"Poland","Poland Ekstraklasa","Pogon Szczecin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015/2016",12,"2015-10-17 00:00:00",2,2,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2011/2012",13,"2011-11-05 00:00:00",0,4,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2014/2015",12,"2014-10-17 00:00:00",1,0,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011/2012",16,"2011-12-02 00:00:00",1,1,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008/2009",22,"2009-04-04 00:00:00",0,0,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2010/2011",20,"2011-04-02 00:00:00",2,3,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2010/2011",6,"2010-09-18 00:00:00",1,0,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2010/2011",17,"2011-03-04 00:00:00",3,1,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2012/2013",28,"2013-05-24 00:00:00",1,1,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2014/2015",17,"2014-11-28 00:00:00",3,0,"Poland","Poland Ekstraklasa","Górnik Leczna","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011/2012",8,"2011-09-25 00:00:00",3,2,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2012/2013",2,"2012-08-25 00:00:00",2,0,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2011/2012",18,"2012-02-18 00:00:00",1,1,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009/2010",1,"2009-08-01 00:00:00",2,0,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2009/2010",22,"2010-03-27 00:00:00",1,4,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2014/2015",7,"2014-08-31 00:00:00",3,3,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2015/2016",7,"2015-08-29 00:00:00",3,1,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008/2009",8,"2008-10-04 00:00:00",1,0,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015/2016",19,"2015-12-05 00:00:00",1,1,"Poland","Poland Ekstraklasa","Podbeskidzie Bielsko-Biala","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2015/2016",14,"2015-10-30 00:00:00",0,0,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2010/2011",4,"2010-08-29 00:00:00",1,0,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2012/2013",6,"2012-09-28 00:00:00",1,2,"Poland","Poland Ekstraklasa","Podbeskidzie Bielsko-Biala","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2013/2014",30,"2014-04-12 00:00:00",0,3,"Poland","Poland Ekstraklasa","Zawisza Bydgoszcz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2012/2013",12,"2012-11-19 00:00:00",1,0,"Poland","Poland Ekstraklasa","Pogon Szczecin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2013/2014",7,"2013-09-15 00:00:00",6,0,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2009/2010",11,"2009-10-23 00:00:00",0,1,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2015/2016",23,"2016-02-21 00:00:00",0,2,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2014/2015",5,"2014-08-16 00:00:00",0,1,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2014/2015",26,"2015-04-06 00:00:00",2,2,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2011/2012",24,"2012-03-31 00:00:00",1,2,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2011/2012",15,"2011-11-28 00:00:00",1,0,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,5,11,5,6,16,15,2,3,9,13,4,5
"54","2008/2009",1,"2008-08-10 00:00:00",0,0,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2013/2014",13,"2013-10-24 00:00:00",0,0,"Poland","Poland Ekstraklasa","Podbeskidzie Bielsko-Biala","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2008/2009",6,"2008-09-20 00:00:00",3,0,"Poland","Poland Ekstraklasa","P. Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2009/2010",8,"2009-09-27 00:00:00",0,0,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2012/2013",19,"2013-03-16 00:00:00",2,1,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2010/2011",1,"2010-08-08 00:00:00",0,0,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2015/2016",17,"2015-11-27 00:00:00",3,0,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2009/2010",28,"2010-05-07 00:00:00",1,0,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2015/2016",5,"2015-08-16 00:00:00",2,1,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2013/2014",27,"2014-03-23 00:00:00",3,1,"Poland","Poland Ekstraklasa","Pogon Szczecin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2010/2011",14,"2010-11-20 00:00:00",2,1,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2011/2012",11,"2011-10-21 00:00:00",1,2,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2014/2015",28,"2015-04-17 00:00:00",0,0,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2014/2015",30,"2015-04-29 00:00:00",2,0,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2013/2014",9,"2013-09-25 00:00:00",0,1,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2008/2009",17,"2008-12-06 00:00:00",3,1,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2013/2014",14,"2013-10-30 00:00:00",1,4,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2012/2013",1,"2012-08-18 00:00:00",4,0,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2013/2014",25,"2014-03-08 00:00:00",0,1,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2009/2010",4,"2009-08-21 00:00:00",0,1,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2011/2012",27,"2012-04-20 00:00:00",0,1,"Poland","Poland Ekstraklasa","P. Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2011/2012",2,"2011-08-08 00:00:00",2,2,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2010/2011",26,"2011-05-11 00:00:00",0,2,"Poland","Poland Ekstraklasa","Arka Gdynia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2014/2015",3,"2014-08-03 00:00:00",3,0,"Poland","Poland Ekstraklasa","Podbeskidzie Bielsko-Biala","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2009/2010",12,"2009-10-31 00:00:00",2,0,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2013/2014",5,"2013-08-23 00:00:00",2,2,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2013/2014",23,"2014-02-23 00:00:00",2,3,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2008/2009",4,"2008-08-30 00:00:00",3,0,"Poland","Poland Ekstraklasa","Odra Wodzislaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2009/2010",9,"2009-10-03 00:00:00",1,3,"Poland","Poland Ekstraklasa","Odra Wodzislaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2015/2016",10,"2015-09-26 00:00:00",2,1,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2011/2012",29,"2012-05-03 00:00:00",0,2,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2010/2011",23,"2011-04-23 00:00:00",0,1,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2012/2013",8,"2012-10-21 00:00:00",2,1,"Poland","Poland Ekstraklasa","P. Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2010/2011",30,"2011-05-29 00:00:00",2,1,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2008/2009",11,"2008-11-02 00:00:00",2,0,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2010/2011",13,"2010-11-13 00:00:00",3,1,"Poland","Poland Ekstraklasa","P. Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2008/2009",24,"2009-04-19 00:00:00",1,0,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2012/2013",20,"2013-04-01 00:00:00",2,3,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2011/2012",20,"2012-03-04 00:00:00",0,1,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2014/2015",24,"2015-03-16 00:00:00",0,1,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2014/2015",8,"2014-09-12 00:00:00",1,1,"Poland","Poland Ekstraklasa","Pogon Szczecin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2014/2015",14,"2014-11-02 00:00:00",2,1,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2010/2011",27,"2011-05-14 00:00:00",1,0,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2015/2016",21,"2015-12-19 00:00:00",0,1,"Poland","Poland Ekstraklasa","Termalica Bruk-Bet Nieciecza","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2013/2014",11,"2013-10-07 00:00:00",0,2,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2009/2010",20,"2010-03-13 00:00:00",1,1,"Poland","Poland Ekstraklasa","P. Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2010/2011",10,"2010-10-24 00:00:00",0,0,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2008/2009",20,"2009-03-14 00:00:00",0,3,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2012/2013",14,"2012-12-02 00:00:00",3,0,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2015/2016",24,"2016-02-28 00:00:00",2,0,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2011/2012",25,"2012-04-07 00:00:00",2,0,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2013/2014",3,"2013-08-02 00:00:00",2,1,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2009/2010",18,"2010-02-27 00:00:00",0,3,"Poland","Poland Ekstraklasa","Arka Gdynia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2008/2009",26,"2009-05-03 00:00:00",1,1,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2012/2013",22,"2013-04-13 00:00:00",0,3,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2010/2011",9,"2010-10-17 00:00:00",2,3,"Poland","Poland Ekstraklasa","Cracovia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2010/2011",22,"2011-04-16 00:00:00",0,0,"Poland","Poland Ekstraklasa","Widzew Lódz","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2015/2016",30,"2016-04-09 00:00:00",2,0,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2012/2013",24,"2013-04-28 00:00:00",2,0,"Poland","Poland Ekstraklasa","Polonia Bytom","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2012/2013",3,"2012-09-02 00:00:00",1,0,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2009/2010",30,"2010-05-15 00:00:00",3,0,"Poland","Poland Ekstraklasa","Korona Kielce","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2008/2009",28,"2009-05-15 00:00:00",1,2,"Poland","Poland Ekstraklasa","Arka Gdynia","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2011/2012",21,"2012-03-10 00:00:00",1,1,"Poland","Poland Ekstraklasa","Zaglebie Lubin","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2008/2009",30,"2009-05-30 00:00:00",4,1,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2008/2009",10,"2008-10-24 00:00:00",0,0,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2010/2011",3,"2010-08-21 00:00:00",3,2,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2014/2015",4,"2014-08-10 00:00:00",2,2,"Poland","Poland Ekstraklasa","Wisla Kraków","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2011/2012",27,"2012-02-25 00:00:00",2,1,"Belgium","Belgium Jupiler League","Beerschot AC","Oud-Heverlee Leuven",1.62,3.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2015/2016",17,"2015-11-29 00:00:00",3,2,"Belgium","Belgium Jupiler League","RSC Anderlecht","Oud-Heverlee Leuven",1.25,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2015/2016",5,"2015-08-22 00:00:00",2,1,"Belgium","Belgium Jupiler League","KV Mechelen","Oud-Heverlee Leuven",1.75,3.75,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2012/2013",6,"2012-09-01 00:00:00",1,1,"Belgium","Belgium Jupiler League","Lierse SK","Oud-Heverlee Leuven",1.8,3.6,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
